index,title,author,author_sex,author_nationality,publisher,publisher_country,month_year,day ,pages,ranks,best_seller_rank,general_subject,specific_subject,price,link
0,The New American Revolution: The Making of a Populist Movement,Kayleigh McEnany ,Female,American,Threshold Editions,USA,19-Oct,1,336,378,169.159,History ,Populism,13.18,https://www.amazon.co.uk/New-American-Revolution-Populist-Movement/dp/1501179691/ref=sr_1_1?Adv-Srch-Books-Submit.x=45&Adv-Srch-Books-Submit.y=10&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-binding_browse-bin=492564011&field-datemod=10&field-dateop=During&field-dateyear=2019&qid=1605534333&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&s=books&sr=1-1&unfiltered=1
1,The Finance Curse: How global finance is making us all poorer,Nicholas Shaxson ,Male,British,Vintage,UK,19-Oct,17,384,49,112.227,Finance,Poor vs Rich,7.99,https://www.amazon.co.uk/Finance-Curse-global-finance-making/dp/1784705047/ref=sr_1_2?Adv-Srch-Books-Submit.x=45&Adv-Srch-Books-Submit.y=10&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-binding_browse-bin=492564011&field-datemod=10&field-dateop=During&field-dateyear=2019&qid=1605534333&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&s=books&sr=1-2&unfiltered=1
2,In Light of Yesterday: The Backstory of the Global Economy ,Brady Raanes,Male,American,Brady Raanes,USA,19-Oct,21,224,44,79.231,History ,Economy ,7.56,https://www.amazon.co.uk/Light-Yesterday-Backstory-Global-Economy/dp/1733230521/ref=sr_1_3?Adv-Srch-Books-Submit.x=45&Adv-Srch-Books-Submit.y=10&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-binding_browse-bin=492564011&field-datemod=10&field-dateop=During&field-dateyear=2019&qid=1605534333&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&s=books&sr=1-3&unfiltered=1
3,Just a Girl: Growing Up Female and Ambitious ,Lucinda Jackson,Female,American,She Writes Press,USA,19-Oct,8,280,18,"5,142,822",Sociology,Women,9.99,https://www.amazon.co.uk/Just-Girl-Growing-Female-Ambitious/dp/1631526626/ref=sr_1_4?Adv-Srch-Books-Submit.x=45&Adv-Srch-Books-Submit.y=10&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-binding_browse-bin=492564011&field-datemod=10&field-dateop=During&field-dateyear=2019&qid=1605534333&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&s=books&sr=1-4&unfiltered=1
4,Socialism: An Economic and Sociological Analysis ,Ludwig Von Mises,Male,Austrian,Must Have Books ,,19-Oct,23,602,149,"2,478,962",Economy ,Socialism,18.81,https://www.amazon.co.uk/Socialism-Sociological-Ludwig-Von-Mises/dp/1773236148/ref=sr_1_5?Adv-Srch-Books-Submit.x=45&Adv-Srch-Books-Submit.y=10&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-binding_browse-bin=492564011&field-datemod=10&field-dateop=During&field-dateyear=2019&qid=1605534333&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&s=books&sr=1-5&unfiltered=1
5,Daylight Robbery: How Tax Shaped Our Past and Will Change Our Future,Dominic Frisby ,Male,British,Portfolio Penguin,UK,19-Oct,17,288,91,315.805,Finance,Taxes,14.99,https://www.amazon.co.uk/Daylight-Robbery-Shaped-Change-Future/dp/0241360838/ref=sr_1_6?Adv-Srch-Books-Submit.x=45&Adv-Srch-Books-Submit.y=10&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-binding_browse-bin=492564011&field-datemod=10&field-dateop=During&field-dateyear=2019&qid=1605534333&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&s=books&sr=1-6&unfiltered=1
6,"Fins: Harley Earl, the Rise of General Motors, and the Glory Days of Detroit",William Knoedelseder ,Male,American,Harper Business,USA,19-Oct,17,336,91,806.195,History ,Transports,12.99,https://www.amazon.co.uk/Fins-Harley-General-Motors-Detroit/dp/006228908X/ref=sr_1_7?Adv-Srch-Books-Submit.x=45&Adv-Srch-Books-Submit.y=10&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-binding_browse-bin=492564011&field-datemod=10&field-dateop=During&field-dateyear=2019&qid=1605534333&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&s=books&sr=1-7&unfiltered=1
7,The Servile State ,Hilaire Belloc ,Male,French,Independently Published,,19-Oct,8,82,76,,History ,Economy ,4.61,https://www.amazon.co.uk/Servile-State-Hilaire-Belloc/dp/1698483635/ref=sr_1_8?Adv-Srch-Books-Submit.x=45&Adv-Srch-Books-Submit.y=10&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-binding_browse-bin=492564011&field-datemod=10&field-dateop=During&field-dateyear=2019&qid=1605534333&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&s=books&sr=1-8&unfiltered=1
8,Radical Markets: Uprooting Capitalism and Democracy for a Just Society,Eric A. Posner ,Male,American,Princeton University Press,USA,19-Oct,8,384,60,247.494,Economy ,Politics,12.99,https://www.amazon.co.uk/Radical-Markets-Uprooting-Capitalism-Democracy/dp/0691196060/ref=sr_1_9?Adv-Srch-Books-Submit.x=45&Adv-Srch-Books-Submit.y=10&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-binding_browse-bin=492564011&field-datemod=10&field-dateop=During&field-dateyear=2019&qid=1605534333&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&s=books&sr=1-9&unfiltered=1
9,Planting Light Bulbs: 20+ Ways to Cultivate Success in the Digital Age,Neil Gray,Male,British,Agora Cubed ,UK,19-Oct,8,212,12,436.092,Economy ,Development,113.37,https://www.amazon.co.uk/Planting-Light-Bulbs-Cultivate-Success/dp/1916236405/ref=sr_1_10?Adv-Srch-Books-Submit.x=45&Adv-Srch-Books-Submit.y=10&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-binding_browse-bin=492564011&field-datemod=10&field-dateop=During&field-dateyear=2019&qid=1605534333&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&s=books&sr=1-10&unfiltered=1
10,Navigating the Financial Universe: Prospering and Preparing for the Challenges Ahead ,Christeen H. Skinner,Female,,Ibis Press,USA,19-Oct,23,224,12,191.406,Astrology,Economy ,14.52,https://www.amazon.co.uk/Navigating-Financial-Universe-Prospering-Challenges/dp/089254189X/ref=sr_1_11?Adv-Srch-Books-Submit.x=45&Adv-Srch-Books-Submit.y=10&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-binding_browse-bin=492564011&field-datemod=10&field-dateop=During&field-dateyear=2019&qid=1605534333&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&s=books&sr=1-11&unfiltered=1
11,Capitalism in America: A History ,"Alan Greenspan, Adrian Wooldridge ",Male,American ,Penguin,UK,19-Oct,15,496,233,104.482,Economy ,Capitalism,9.09,https://www.amazon.co.uk/Capitalism-America-History-Alan-Greenspan/dp/0141989319/ref=sr_1_12?Adv-Srch-Books-Submit.x=45&Adv-Srch-Books-Submit.y=10&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-binding_browse-bin=492564011&field-datemod=10&field-dateop=During&field-dateyear=2019&qid=1605534333&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&s=books&sr=1-12&unfiltered=1
12,How Rich Countries Got Rich ... and Why Poor Countries Stay Poor,Erik S Reinert,Male,Norwegian,PublicAffairs,USA,19-Oct,1,432,45,,Economy ,Poor vs Rich,13.75,https://www.amazon.co.uk/How-Rich-Countries-Poor-Stay/dp/1541762894/ref=sr_1_13?Adv-Srch-Books-Submit.x=45&Adv-Srch-Books-Submit.y=10&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-binding_browse-bin=492564011&field-datemod=10&field-dateop=During&field-dateyear=2019&qid=1605534333&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&s=books&sr=1-13&unfiltered=1
13,Clothing Poverty: The Hidden World of Fast Fashion and Second-Hand Clothes,Andrew Brooks,Male,British,Zed Books,UK,19-Oct,15,296,22,426.769,Economy ,International Trade,9.19,https://www.amazon.co.uk/Clothing-Poverty-Fashion-Second-Hand-Clothes/dp/1786997371/ref=sr_1_14?Adv-Srch-Books-Submit.x=45&Adv-Srch-Books-Submit.y=10&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-binding_browse-bin=492564011&field-datemod=10&field-dateop=During&field-dateyear=2019&qid=1605534333&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&s=books&sr=1-14&unfiltered=1
14,Accounting for Slavery: Masters and Management ,Caitlin Rosenthal,Female,American,Harvard University Press,USA,19-Oct,25,312,34,559.033,Economy ,Poor vs Rich,13.15,https://www.amazon.co.uk/Accounting-Slavery-Caitlin-Rosenthal/dp/0674241657/ref=sr_1_15?Adv-Srch-Books-Submit.x=45&Adv-Srch-Books-Submit.y=10&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-binding_browse-bin=492564011&field-datemod=10&field-dateop=During&field-dateyear=2019&qid=1605534333&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&s=books&sr=1-15&unfiltered=1
15,The Communist Manifesto,"Karl Marx, Friedrich Engels",Male,German,Independently published,,19-Oct,28,53,4.114,"1,398,665",Economy ,Communism,4.64,https://www.amazon.co.uk/Communist-Manifesto-Karl-Marx/dp/1703236882/ref=sr_1_16?Adv-Srch-Books-Submit.x=45&Adv-Srch-Books-Submit.y=10&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-binding_browse-bin=492564011&field-datemod=10&field-dateop=During&field-dateyear=2019&qid=1605534333&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&s=books&sr=1-16&unfiltered=1
16,Persuasion: The Hidden Forces That Influence Negotiations,Jasper Kim,Male,Canadian,Routledge,UK,19-Oct,10,112,18,"2,395,949",Economy ,Politics,13.46,https://www.amazon.co.uk/Persuasion-Influence-Negotiations-Routledge-Management/dp/0367375699/ref=sr_1_19?Adv-Srch-Books-Submit.x=45&Adv-Srch-Books-Submit.y=10&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-binding_browse-bin=492564011&field-datemod=10&field-dateop=During&field-dateyear=2019&qid=1605536996&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&s=books&sr=1-19&unfiltered=1
17,How the World Works: The Story of Human Labor from Prehistory to the Modern Day,Paul Cockshott,Male,British,"Monthly Review Press,U.S",USA,19-Oct,22,440,8,594.528,Economy ,Work Sociology,19.38,https://www.amazon.co.uk/How-World-Works-Prehistory-Modern/dp/1583677771/ref=sr_1_20?Adv-Srch-Books-Submit.x=45&Adv-Srch-Books-Submit.y=10&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-binding_browse-bin=492564011&field-datemod=10&field-dateop=During&field-dateyear=2019&qid=1605536996&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&s=books&sr=1-20&unfiltered=1
18,Uberland: How Algorithms Are Rewriting the Rules of Work,Alex Ronseblat,Female,American,California University Press;,USA,19-Oct,15,296,22,436.488,Transports,Technology,12.82,https://www.amazon.co.uk/Uberland-Algorithms-Rewriting-Rules-Work/dp/0520324803/ref=sr_1_24?Adv-Srch-Books-Submit.x=45&Adv-Srch-Books-Submit.y=10&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-binding_browse-bin=492564011&field-datemod=10&field-dateop=During&field-dateyear=2019&qid=1605536996&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&s=books&sr=1-24&unfiltered=1
19,High Cost of Free Parking,Donald Shoup,Male,American,Routledge,UK,19-Oct,23,733,8,,Urbanism ,Transports,56.99,https://www.amazon.co.uk/High-Cost-Parking-Donald-Shoup/dp/0367330016/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=1605536996&sr=1-25
20,Limits: Why Malthus Was Wrong and Why Environmentalists Should Care,Giorgos Kallis,Male,Greek ,Stanford University Press,USA,19-Oct,15,128,8,629.764,Economy ,Environment,9.45,https://www.amazon.co.uk/Limits-Giorgos-Kallis/dp/1503611558/ref=sr_1_26?Adv-Srch-Books-Submit.x=45&Adv-Srch-Books-Submit.y=10&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-binding_browse-bin=492564011&field-datemod=10&field-dateop=During&field-dateyear=2019&qid=1605536996&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&s=books&sr=1-26&unfiltered=1
21,Against Socialism,The Editors of National Review,,,Post Hill Press ,USA,19-Oct,28,199,12,"3,222,720",Politics,Socialism,12.47,https://www.amazon.co.uk/Against-Socialism-Editors-National-Review/dp/1642934550/ref=sr_1_27?Adv-Srch-Books-Submit.x=45&Adv-Srch-Books-Submit.y=10&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-binding_browse-bin=492564011&field-datemod=10&field-dateop=During&field-dateyear=2019&qid=1605536996&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&s=books&sr=1-27&unfiltered=1
22,Incarcerated Stories: Indigenous Women Migrants and Violence in the Settler-Capitalist State ,Shannon Speed ,Female,American,The University of North Carolina Press,USA,19-Oct,30,176,7,"4,328,895",Women,Indigenous Migrants,23.92,https://www.amazon.co.uk/Incarcerated-Stories-Critical-Indigeneities-Shannon/dp/1469653125/ref=sr_1_32?Adv-Srch-Books-Submit.x=45&Adv-Srch-Books-Submit.y=10&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-binding_browse-bin=492564011&field-datemod=10&field-dateop=During&field-dateyear=2019&qid=1605536996&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&s=books&sr=1-32&unfiltered=1
23,The Laundromat: Inside the Panama Papers Investigation of Illicit Money Networks and the Global Elite,Jake Bernstein,Male,American,WH Allen,UK,19-Oct,17,368,32,182.288,Finance,Money Laundering,7.73,https://www.amazon.co.uk/Laundromat-Inside-Investigation-Illicit-Networks/dp/0753553996/ref=sr_1_31?Adv-Srch-Books-Submit.x=45&Adv-Srch-Books-Submit.y=10&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-binding_browse-bin=492564011&field-datemod=10&field-dateop=During&field-dateyear=2019&qid=1605536996&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&s=books&sr=1-31&unfiltered=1
24,Creative Superpowers: Equip Yourself for the Age of Creativity,"Laura Jordan Bambach, Mark Earls",Male & Female,Australian & British,Unbound ,,19-Oct,3,256,35,339.753,Economy ,Development,8.19,https://www.amazon.co.uk/Creative-Superpowers-Equip-Yourself-Creativity/dp/1783529032/ref=sr_1_30?Adv-Srch-Books-Submit.x=45&Adv-Srch-Books-Submit.y=10&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-binding_browse-bin=492564011&field-datemod=10&field-dateop=During&field-dateyear=2019&qid=1605536996&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&s=books&sr=1-30&unfiltered=1
25,Life Changers: Dreamers and Doers ,Robert Schuller,Male,American,Orient Paperbacks,India,19-Oct,1,186,53,,Economy ,Development,11.99,https://www.amazon.co.uk/Life-Changers-Dreamers-Robert-Schuller/dp/8122206239/ref=sr_1_33?Adv-Srch-Books-Submit.x=45&Adv-Srch-Books-Submit.y=10&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-binding_browse-bin=492564011&field-datemod=10&field-dateop=During&field-dateyear=2019&qid=1605542354&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&s=books&sr=1-33&unfiltered=1
26,Fear Your Future: How the Deck Is Stacked Against Millennials and Why Socialism Would Make It Worse (New Threats to Freedom) ,Philip Klein,Male,American,Templeton Press,USA,19-Oct,28,200,9,"5,016,576",Economy ,Socialism,8.34,https://www.amazon.co.uk/Fear-Your-Future-Millennials-Socialism/dp/1599475731/ref=sr_1_34?Adv-Srch-Books-Submit.x=45&Adv-Srch-Books-Submit.y=10&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-binding_browse-bin=492564011&field-datemod=10&field-dateop=During&field-dateyear=2019&qid=1605542354&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&s=books&sr=1-34&unfiltered=1
27,"The Future of Work: Robots, Ai, and Automation ",Darrelll M.West,Male,American,Brookings Institution Press,,19-Oct,30,221,22,"1,346,287",Economy ,Technology,17.55,https://www.amazon.co.uk/Future-Work-Darrell-West-author/dp/0815737866/ref=sr_1_35?Adv-Srch-Books-Submit.x=45&Adv-Srch-Books-Submit.y=10&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-binding_browse-bin=492564011&field-datemod=10&field-dateop=During&field-dateyear=2019&qid=1605542354&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&s=books&sr=1-35&unfiltered=1
28,A Wunch of Bankers: a year in the Hayne royal commission ,Daniel Ziffer,Male,Australian,Scribe UK,UK,19-Oct,10,368,14,"1,622,227",Economy ,Banks,8.12,https://www.amazon.co.uk/Wunch-Bankers-Hayne-royal-commission/dp/1912854651/ref=sr_1_36?Adv-Srch-Books-Submit.x=45&Adv-Srch-Books-Submit.y=10&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-binding_browse-bin=492564011&field-datemod=10&field-dateop=During&field-dateyear=2019&qid=1605542354&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&s=books&sr=1-36&unfiltered=1
29,Womentality: Thirteen Empowering Stories by Everyday Women Who Said Goodbye to the Workplace and Hello to Their Lives ,Erin Wildermuth,Female,,Three Rooms Press,USA,19-Oct,8,212,14,"1,828,174",Sociology,Women,11.55,https://www.amazon.co.uk/Womentality-Thirteen-Empowering-Everyday-Workplace/dp/1941110843/ref=sr_1_37?Adv-Srch-Books-Submit.x=45&Adv-Srch-Books-Submit.y=10&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-binding_browse-bin=492564011&field-datemod=10&field-dateop=During&field-dateyear=2019&qid=1605542354&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&s=books&sr=1-37&unfiltered=1
30,"100 Worst Employees: Learning from the Very Worst, How to Be Your Very Best","Jim Stovall, Kristine Sexter",Male & Female,American,Sound Wisdom,USA,19-Oct,15,190,97,"3,200,111",Economy ,Development,12.99,https://www.amazon.co.uk/100-Worst-Employees-Learning-Very/dp/1640951148/ref=sr_1_39?Adv-Srch-Books-Submit.x=45&Adv-Srch-Books-Submit.y=10&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-binding_browse-bin=492564011&field-datemod=10&field-dateop=During&field-dateyear=2019&qid=1605542354&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&s=books&sr=1-39&unfiltered=1
31,"Punch Doubt in the Face: How to Upskill, Change Careers, and Beat the Robots",Nicole Merrill,Female,American,Publish Your Purpose Press,USA,19-Oct,15,290,4,"12,708,310",Economy ,Development,24.95,https://www.amazon.co.uk/Punch-Doubt-Face-Upskill-Careers/dp/1946384860/ref=sr_1_40?Adv-Srch-Books-Submit.x=45&Adv-Srch-Books-Submit.y=10&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-binding_browse-bin=492564011&field-datemod=10&field-dateop=During&field-dateyear=2019&qid=1605542354&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&s=books&sr=1-40&unfiltered=1
32,The Future of the Workplace: Insights and Advice from 31 Pioneering Business and Thought ,Bill Fox,Male,American,Apress,USA,19-Oct,2,284,5,"2,902,862",Economy ,Development,19.83,https://www.amazon.co.uk/Future-Workplace-Insights-Pioneering-Business/dp/1484250974/ref=sr_1_48?Adv-Srch-Books-Submit.x=45&Adv-Srch-Books-Submit.y=10&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-binding_browse-bin=492564011&field-datemod=10&field-dateop=During&field-dateyear=2019&qid=1605542354&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&s=books&sr=1-48&unfiltered=1
33,Data-Driven Policy Impact Evaluation: How Access to Microdata is Transforming Policy Design,"Nuno Crato, Paolo Paruolo",Male,Portuguese & Italian,Springer,Germany ,19-Oct,30,360,5,,Economy ,Technology,44.99,https://www.amazon.co.uk/Data-Driven-Policy-Impact-Evaluation-Transforming/dp/3030087034/ref=sr_1_49?Adv-Srch-Books-Submit.x=45&Adv-Srch-Books-Submit.y=10&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-binding_browse-bin=492564011&field-datemod=10&field-dateop=During&field-dateyear=2019&qid=1605542534&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&s=books&sr=1-49&unfiltered=1
34,Before the Collapse: A Guide to the Other Side of Growth,Ugo Bardi,Male,Italian,Springer,Germany ,19-Oct,29,260,6,"1,119,767",Economy ,Collapse,17.23,https://www.amazon.co.uk/Before-Collapse-Guide-Other-Growth/dp/3030290379/ref=sr_1_62?Adv-Srch-Books-Submit.x=45&Adv-Srch-Books-Submit.y=10&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-binding_browse-bin=492564011&field-datemod=10&field-dateop=During&field-dateyear=2019&qid=1605542534&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&s=books&sr=1-62&unfiltered=1
35,On Trend: The Business of Forecasting the Future ,Devon Powers,Female,,University of Illinois Press,,19-Oct,16,232,5,525.306,Economy ,Trends,12.28,https://www.amazon.co.uk/Trend-Devon-Powers/dp/0252084691/ref=sr_1_63?Adv-Srch-Books-Submit.x=45&Adv-Srch-Books-Submit.y=10&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-binding_browse-bin=492564011&field-datemod=10&field-dateop=During&field-dateyear=2019&qid=1605542534&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&s=books&sr=1-63&unfiltered=1
36,Airbnb: Why so many people are earning a seven-figure income without owning property ,Andrew Jameson,Male,British,Orion Products LTD,,19-Oct,11,120,16,,Economy ,Property,14.42,https://www.amazon.co.uk/Airbnb-earning-seven-figure-without-property/dp/1951698002/ref=sr_1_64?Adv-Srch-Books-Submit.x=45&Adv-Srch-Books-Submit.y=10&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-binding_browse-bin=492564011&field-datemod=10&field-dateop=During&field-dateyear=2019&qid=1605542534&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&s=books&sr=1-64&unfiltered=1
